rank,Name,Rentals total,lat,lon
1,SW Salmon at Waterfront Park,4011
2,SW Moody at Aerial Tram Terminal,2101
3,SW 2nd at Pine,1944
4,SW 3rd at Ankeny,1930
5,SW River at Montgomery,1923
6,NW Couch at 11th,1864
7,SW 5th at Morrison,1824
8,SW Naito at Ankeny Plaza,1785
9,NW Flanders at 14th,1689
10,NW 13th at Marshall,1663
11,SW Yamhill at Director Park,1648
12,SW Morrison at Pioneer Courthouse Sq.,1647
13,NW Johnson at Jamison Square,1505
14,SE Ladd at Hawthorne,1467
15,SW 10th at Stark,1409
16,SW Morrison at 18th,1404
17,SW 3rd at Morrison,1374
18,Tilikum West at SW Moody,1342
19,NW Kearney at 23rd,1298
20,NW Marshall at Tanner Springs Park,1269
